GeneSymbol	EntrezID	logFC	PValue	FDR
FBXO5	26271	1.789275767	3.3e-05	0.0005293
FSCN1	6624	1.794088356	2.4e-05	0.000408044
RPL39L	116832	1.801053319	2.58e-05	0.000434271
FANCI	55215	1.804950745	4.62e-06	0.000109233
ITPR3	3710	1.805174876	1.41e-05	0.000267713
PFN2	5217	1.807490676	6.1e-05	0.000848091
SRD5A1	6715	1.809857206	6.24e-06	0.000137878
MCOLN2	255231	1.810858973	0.000106522	0.0013386
NUAK2	81788	1.812186548	0.000244653	0.002602314
TMEM165	55858	1.817154132	0.000825095	0.006703037
DNAJC9	23234	1.8172306	3.53e-06	8.6e-05
HCP5	10866	1.817584032	1.29e-05	0.000249809
PSMB9	5698	1.820057511	7.92e-06	0.000168609
C6orf150	115004	1.822992338	5.27e-05	0.000761266
ALDH1B1	219	1.824763116	5.28e-06	0.000121686
SH2B2	10603	1.836279166	0.000134106	0.001618349
PPAT	5471	1.837386206	0.000794003	0.006511056
CHST6	4166	1.840064171	0.000449367	0.00416953
CARD11	84433	1.842644336	0.000524071	0.004707273
GPR161	23432	1.843362481	8.54e-05	0.001117272
PRIM2	5558	1.844176412	2.7e-07	1.04e-05
DNMT3B	1789	1.84497005	0.000143812	0.001711803
NAT14	57106	1.845967456	0.000208769	0.00229549
CCL5	6352	1.846051042	0.000201655	0.00222761
C12orf32	83695	1.846920208	5.72e-07	1.98e-05
TSTA3	7264	1.848810776	6.22e-07	2.12e-05
LAD1	3898	1.85622782	6.46e-06	0.00014184
UNC5B	219699	1.856718092	1.71e-06	4.82e-05
CLCN2	1181	1.856921032	0.000309393	0.003107131
FAM26F	441168	1.86121036	0.000166942	0.001926282
C11orf41	25758	1.864625213	0.000541372	0.004833868
TLCD1	116238	1.865100709	0.000113125	0.001402932
RFC4	5984	1.865538474	3.41e-06	8.38e-05
TTYH3	80727	1.867077936	4.24e-05	0.000644793
E2F3	1871	1.871504278	1.2e-07	5.33e-06
UNC13D	201294	1.87456439	3.11e-07	1.17e-05
BEND6	221336	1.874781457	0.00081639	0.006667595
ACAT2	39	1.877160599	1.52e-07	6.31e-06
FANCB	2187	1.881864303	0.000819853	0.006670255
EME1	146956	1.881943467	0.000221261	0.00240257
PCDH17	27253	1.883454389	5.91e-05	0.000825657
RHBDL2	54933	1.884487662	0.000263579	0.002754089
CHI3L2	1117	1.884645725	0.000748203	0.006212169
CHRNA5	1138	1.887667705	0.001300574	0.009592894
DHCR7	1717	1.888397947	1.69e-06	4.81e-05
GABBR1	2550	1.892063074	1.36e-05	0.000258847
CHAC2	494143	1.892654766	0.000757775	0.006272921
EPHB2	2048	1.893822632	0.000139585	0.001672301
MOXD1	26002	1.897787021	8.21e-05	0.001085071
SLA2	84174	1.901576449	0.001159915	0.008734129
SLC6A9	6536	1.904082336	9.36e-06	0.000191593
EPSTI1	94240	1.905353471	8.83e-06	0.000183533
ACSL6	23305	1.909016821	0.000762444	0.006305281
HES2	54626	1.913318665	0.000490754	0.004478363
HLA-A	3105	1.918067487	3.33e-05	0.000532608
OLR1	4973	1.918373702	0.000105353	0.001327394
FKBP10	60681	1.91851368	3.37e-06	8.33e-05
RBP1	5947	1.920208069	5.5e-05	0.000786684
ZNF367	195828	1.922362187	0.000190442	0.00212784
TAP2	6891	1.922957133	7.33e-08	3.5e-06
BRCA2	675	1.922974225	0.000240499	0.002572723
RELT	84957	1.923650302	1.63e-05	0.000299167
NUP210	23225	1.925535311	1.25e-09	1.33e-07
LIPG	9388	1.929396692	0.000138765	0.001664666
CD7	924	1.930331789	0.001276486	0.009448844
WDR62	284403	1.93268181	4.76e-06	0.000112198
PLEK2	26499	1.93392446	0.000628112	0.005410247
ANKRD22	118932	1.934811134	0.000583968	0.005096193
ICAM1	3383	1.936524844	0.000316971	0.00315468
GINS2	51659	1.936962012	0.000142235	0.001699131
HN1	51155	1.937516406	2.37e-07	9.42e-06
CTPS	1503	1.939501473	1.47e-07	6.16e-06
DNAJC6	9829	1.94150442	0.000983994	0.007688787
CORO1A	11151	1.945057783	0.000267441	0.002781957
PPIF	10105	1.946023859	1.33e-05	0.000255737
ST3GAL4	6484	1.946291235	1.61e-06	4.61e-05
HLA-DOA	3111	1.952200259	0.000970462	0.007611742
CENPL	91687	1.952639454	7.33e-06	0.000158075
HLA-DQA1	3117	1.953674716	0.000262782	0.002750748
TMEFF1	8577	1.959987434	0.000577309	0.005054047
CENPK	64105	1.962888098	0.000516009	0.004660101
SULF1	23213	1.970190774	1.04e-08	7.57e-07
FEN1	2237	1.973136387	1.03e-06	3.19e-05
SLC7A11	23657	1.973744463	0.000125836	0.001535309
CILP2	148113	1.978688143	0.000173763	0.001981199
NFKBIE	4794	1.996953599	5.93e-09	4.73e-07
NCAPG2	54892	2.000722016	1.92e-06	5.3e-05
LRFN4	78999	2.000726673	8.07e-08	3.81e-06
HELLS	3070	2.003362314	3.38e-05	0.000536877
CXCR4	7852	2.006591987	0.000372021	0.003573856
GAPDH	2597	2.0107862	1.9e-07	7.7e-06
NCAPD2	9918	2.011072403	1.15e-07	5.12e-06
IGSF9	57549	2.012518663	5.97e-05	0.000833169
LAGE3	8270	2.015254906	2.67e-06	6.93e-05
PMAIP1	5366	2.017340881	0.001212965	0.009051384
C15orf23	90417	2.017906154	1.9e-06	5.27e-05
SPC25	57405	2.018251687	2.99e-05	0.000492308
SRPK1	6732	2.019464632	2.92e-08	1.69e-06
CD247	919	2.019752397	8.91e-05	0.001156419
IL18	3606	2.019767834	3.81e-05	0.000588063
TMEM158	25907	2.020487444	0.000695638	0.005860959
GALNT14	79623	2.020573195	0.000173147	0.001975879
DSCC1	79075	2.027634558	1.61e-05	0.000296069
C21orf58	54058	2.02844442	0.000218718	0.002378076
OASL	8638	2.028622106	8.54e-06	0.000178433
FAM83B	222584	2.029912107	0.000417915	0.003930487
GPSM2	29899	2.034074315	1.39e-08	9.39e-07
WNT10A	80326	2.03429008	0.000342714	0.003342673
TNFRSF18	8784	2.035478267	0.001014673	0.007865066
TRAF3IP3	80342	2.035872821	3.48e-05	0.00054863
SEMA7A	8482	2.038192987	2.8e-06	7.23e-05
P2RY6	5031	2.039590772	0.000180925	0.002050521
BRIP1	83990	2.039827162	0.000180432	0.002046334
CD2	914	2.043783287	5.35e-05	0.000768842
DLX4	1748	2.045274114	0.000679543	0.005751661
DBF4	10926	2.047170226	3.72e-07	1.35e-05
MCM4	4173	2.05455095	1.01e-06	3.15e-05
ITGB7	3695	2.062513661	9.02e-06	0.000186669
LAT	27040	2.066871198	0.000269768	0.002794101
CIT	11113	2.070180286	1.14e-06	3.47e-05
CD3D	915	2.071389801	0.000871135	0.007018607
PRKCB	5579	2.075303745	0.00075693	0.006272188
VEPH1	79674	2.075373039	0.00122139	0.009086726
CD3E	916	2.077071977	0.000335034	0.003292055
SLC2A6	11182	2.079662633	4.38e-05	0.000660792
SKP2	6502	2.085493497	3.13e-05	0.000508546
CCNF	899	2.090212198	6.18e-07	2.11e-05
RACGAP1	29127	2.091090957	1.64e-08	1.07e-06
C6orf129	154467	2.094674334	6.15e-07	2.11e-05
ST8SIA4	7903	2.09624769	4.92e-06	0.000114818
CDCA7	83879	2.098007757	2.2e-05	0.000379183
LOC100128191	100128191	2.099128919	7.35e-05	0.000992174
SGOL2	151246	2.099867809	3.02e-07	1.14e-05
PLAU	5328	2.104638762	1.88e-08	1.16e-06
BASP1	10409	2.105390101	5.15e-05	0.000752346
HMGA1	3159	2.106020858	3.25e-08	1.84e-06
PAICS	10606	2.107221956	0.000171427	0.00196165
TMEM38A	79041	2.109397755	0.00017155	0.001961705
MAP4K1	11184	2.109933377	0.000446074	0.004148266
B4GALNT3	283358	2.111124264	3.88e-06	9.39e-05
CTSL2	1515	2.113046094	0.001336994	0.009787779
TPI1	7167	2.114748523	1.89e-06	5.26e-05
MYO1G	64005	2.122960977	8.11e-05	0.001073738
HAGHL	84264	2.127458593	0.000990301	0.007725804
CD109	135228	2.127483182	3.05e-06	7.7e-05
NETO2	81831	2.128682353	0.000101538	0.001290114
ZC3H12D	340152	2.12975398	0.001038077	0.008013201
UBASH3A	53347	2.130153185	0.001154132	0.008698487
TMEM206	55248	2.134954641	7.19e-07	2.4e-05
LIME1	54923	2.137060452	0.000653767	0.005576191
ADM2	79924	2.139604536	8.44e-07	2.71e-05
SLAMF1	6504	2.144929235	0.00082391	0.006699547
PRR7	80758	2.144940695	0.000158547	0.001844815
KCNK1	3775	2.146210645	1e-07	4.53e-06
GAS2L3	283431	2.146303961	0.000146404	0.001733946
RGS4	5999	2.148885508	1.71e-05	0.000309533
ZNF280B	140883	2.151054599	0.000309908	0.003108637
RDM1	201299	2.151620069	0.000817113	0.006667595
BGN	633	2.152231844	3.35e-05	0.00053323
CENPW	387103	2.155685306	8.26e-06	0.000173367
CDKN2BAS	100048912	2.157041893	0.000394001	0.003738498
ACAP1	9744	2.170977801	0.000253944	0.002686192
PTGS2	5743	2.171357816	0.000732434	0.006110132
SKA1	220134	2.174206578	2.94e-06	7.5e-05
SNX20	124460	2.174680372	0.000110375	0.001376035
AGMAT	79814	2.176851565	2.97e-05	0.000489385
ISG15	9636	2.177264891	1.48e-07	6.17e-06
SEPT3	55964	2.177367823	2.6e-05	0.000437255
GBP1	2633	2.178593847	2.29e-06	6.1e-05
IL2RG	3561	2.179670133	4.18e-05	0.000638926
SMOX	54498	2.180715567	4.99e-05	0.000733453
APOBEC3B	9582	2.184083154	7.86e-06	0.000167834
ADAMTS14	140766	2.188960762	0.000635116	0.005462065
GABRD	2563	2.189080932	0.000394033	0.003738498
GSG2	83903	2.190797336	3.24e-05	0.000521652
CST7	8530	2.198091995	0.000646685	0.005530005
SP140	11262	2.205356998	0.000122131	0.001497824
NXPH4	11247	2.212464728	0.000613933	0.005310183
IL4I1	259307	2.214394887	1.12e-06	3.43e-05
CCDC64	92558	2.219796932	3.44e-06	8.45e-05
CDT1	81620	2.220541081	1.24e-05	0.000240579
ADORA2A	135	2.225626308	7.21e-05	0.000976937
SGPP2	130367	2.227831664	0.000151556	0.001784762
GPR68	8111	2.228183619	6.58e-05	0.000900793
KIAA0748	9840	2.228313016	0.000575113	0.005045478
TNF	7124	2.23294523	2.29e-05	0.000393941
AHRR	57491	2.233019075	0.000135437	0.001631387
CCL4L2	388372	2.234623568	0.000101622	0.001290199
RAB26	25837	2.235091867	0.000645401	0.005524725
RGS16	6004	2.236503157	6.8e-10	7.94e-08
C1orf135	79000	2.238246082	1.09e-05	0.000216485
CTHRC1	115908	2.242456488	1.18e-05	0.000229639
C15orf48	84419	2.242923486	0.001196531	0.008948885
TRIM59	286827	2.247032486	1.82e-07	7.43e-06
SQLE	6713	2.247385448	1.44e-08	9.61e-07
IGF2BP3	10643	2.247869118	8.82e-05	0.001147358
H2AFZ	3015	2.249956755	2.18e-07	8.74e-06
STMN1	3925	2.250029411	1.42e-07	6.03e-06
CD27	939	2.25031582	0.000565289	0.004990978
CD1E	913	2.251597451	0.000578703	0.005063073
JAKMIP1	152789	2.256495831	0.001253053	0.009291981
MSI1	4440	2.258545988	0.000208988	0.00229638
GZMA	3001	2.264779637	0.001091271	0.008326907
LIMD2	80774	2.268451269	3.18e-06	7.91e-05
BAMBI	25805	2.268837603	9.42e-06	0.000192522
HLA-DRB5	3127	2.268884941	8.79e-05	0.001144083
SMC4	10051	2.269862603	1.03e-07	4.6e-06
KCNK5	8645	2.274075294	0.000215298	0.002351687
LSR	51599	2.275042972	2.71e-09	2.43e-07
E2F1	1869	2.277995106	3.26e-07	1.22e-05
CHEK1	1111	2.282432379	3.61e-07	1.33e-05
MOCOS	55034	2.282498089	0.001175304	0.008821963
PPP1R14B	26472	2.282897992	1.27e-09	1.34e-07
MYBL1	4603	2.285348219	0.000381777	0.003646454
TACC3	10460	2.291491526	1.36e-08	9.25e-07
RASGRF1	5923	2.29186452	0.000154332	0.001804642
MDFI	4188	2.301867265	1.33e-06	3.91e-05
ANP32E	81611	2.30451315	1.86e-06	5.18e-05
PPFIA4	8497	2.311826098	0.000967715	0.007600988
SH3GL3	6457	2.319932648	0.001144357	0.008636586
CD79B	974	2.335044468	0.001144311	0.008636586
STAC	6769	2.335995468	4.63e-05	0.000693588
RECQL4	9401	2.336865896	3.75e-07	1.37e-05
CYP1B1	1545	2.342237231	0.000719555	0.00603182
LCK	3932	2.345364572	1.47e-05	0.00027663
KLK13	26085	2.35629648	0.001315782	0.009670647
TNFSF4	7292	2.356573645	8.08e-07	2.63e-05
DBNDD1	79007	2.357621578	2.82e-08	1.64e-06
ETV7	51513	2.359053438	4.49e-05	0.000674947
PANX2	56666	2.359502705	1.06e-06	3.27e-05
EMID1	129080	2.363183666	0.000162546	0.001880796
PTPN7	5778	2.365402455	2.08e-05	0.000362424
FAM171A2	284069	2.375251445	0.000145193	0.00172577
KIF26B	55083	2.376734811	3.03e-05	0.000495918
ADD2	119	2.384348	3.79e-05	0.000586504
CDC7	8317	2.38740153	4.81e-07	1.7e-05
MLF1IP	79682	2.389214988	2.11e-07	8.48e-06
KPNA2	3838	2.391508526	1.27e-07	5.52e-06
ATAD2	29028	2.391920541	5.49e-08	2.77e-06
ECT2	1894	2.398184114	8.65e-08	4.04e-06
ESCO2	157570	2.400190294	7.23e-06	0.000156392
PLK4	10733	2.402196948	1.42e-06	4.14e-05
H2AFX	3014	2.405043395	2.06e-08	1.25e-06
COL11A2	1302	2.407016435	1.28e-06	3.8e-05
IL2RB	3560	2.407334731	5.17e-07	1.81e-05
MCM2	4171	2.417024102	7.61e-10	8.64e-08
GRHL3	57822	2.42011946	5.54e-05	0.000789165
ECE2	9718	2.420283168	4.13e-08	2.2e-06
PAQR4	124222	2.420927169	1.25e-08	8.7e-07
KCNH2	3757	2.421193351	0.000763682	0.006306081
ARHGAP11A	9824	2.42661957	1.18e-08	8.36e-07
DNA2	1763	2.430768245	6.14e-06	0.000136086
HLA-DQB1	3119	2.431402433	8.17e-06	0.000172438
MYCL1	4610	2.438421887	1.17e-05	0.000228682
C6orf115	58527	2.439076858	2.94e-13	1.08e-10
RAD51	5888	2.4406308	2.17e-06	5.83e-05
RNFT2	84900	2.441025035	1.53e-05	0.000285005
SPOCK2	9806	2.443375864	8.91e-08	4.14e-06
PSRC1	84722	2.44425977	4.48e-06	0.000106129
PSAT1	29968	2.448808996	3.37e-06	8.33e-05
SYNGR3	9143	2.466845383	0.00067189	0.005692701
KIAA1211	57482	2.473418048	9.22e-05	0.001194059
CXCL1	2919	2.473664635	0.000504459	0.004565742
GAL	51083	2.475148463	0.000778908	0.006413735
LMNB1	4001	2.485878337	3e-10	3.94e-08
LRRN4	164312	2.499430337	0.001307143	0.009624219
TMEM132A	54972	2.50900331	5.79e-10	7.06e-08
IKZF3	22806	2.509042221	0.000915172	0.007290991
DCBLD1	285761	2.509650572	7.5e-06	0.000161467
BAG2	9532	2.513280494	3.9e-06	9.42e-05
CSMD2	114784	2.513998543	0.000955648	0.007527599
MLLT11	10962	2.517579403	3.04e-06	7.7e-05
TMEM90B	79953	2.518195854	0.000438244	0.004089208
HPDL	84842	2.52111909	0.000195569	0.0021705
NFE2L3	9603	2.522477297	8.78e-11	1.4e-08
ZBTB32	27033	2.524989677	0.000576369	0.005051473
SALL4	57167	2.536432587	4.1e-05	0.000626638
CAMK2N2	94032	2.541017083	0.000214436	0.002343811
TRAT1	50852	2.550784167	0.001090749	0.00832675
BAIAP2L2	80115	2.554683122	1.09e-05	0.000216485
FADS2	9415	2.555847687	5.23e-05	0.000758402
FBN2	2201	2.556723971	0.000518813	0.004679358
EAF2	55840	2.56999724	0.000341701	0.00333672
LAG3	3902	2.573694441	9.27e-06	0.000189969
GPRC5A	9052	2.576924854	7.3e-08	3.5e-06
BMP8A	353500	2.580907876	4.45e-07	1.58e-05
PTPRCAP	5790	2.581534593	7.79e-05	0.001039345
E2F2	1870	2.587879435	1.39e-07	5.92e-06
RCOR2	283248	2.588196278	0.000126254	0.001538151
C11orf82	220042	2.594477419	1.38e-07	5.92e-06
PLAUR	5329	2.596249592	5.66e-06	0.00012772
C16orf59	80178	2.596450918	3.1e-06	7.77e-05
HIST1H1C	3006	2.598322736	0.00039457	0.003738498
FASLG	356	2.598651378	8.7e-05	0.001133057
IL12RB2	3595	2.60233745	0.000165228	0.001909158
MYT1	4661	2.605716659	0.001214079	0.00905562
IL32	9235	2.60847729	1.4e-07	5.98e-06
TAP1	6890	2.615932349	8.98e-09	6.83e-07
DMRT1	1761	2.620036837	0.001045711	0.008057126
CDC25A	993	2.620552568	1.81e-06	5.07e-05
BLM	641	2.626569465	9.97e-09	7.34e-07
C18orf56	494514	2.626885852	0.000836481	0.006782243
NRG4	145957	2.629332155	0.000492328	0.004487795
CLEC4D	338339	2.631366009	0.00027294	0.002816195
KCNG1	3755	2.63197171	1.49e-05	0.000279116
SLC38A5	92745	2.63396165	2.26e-06	6.04e-05
CENPI	2491	2.641304902	2.26e-06	6.03e-05
STIL	6491	2.64412092	3.17e-09	2.78e-07
MND1	84057	2.644471334	3.23e-05	0.000521652
SH2D2A	9047	2.648515428	3.58e-07	1.32e-05
ULBP1	80329	2.650057915	4.04e-05	0.000618457
LAMP3	27074	2.651469294	8.47e-09	6.47e-07
PCDHB2	56133	2.65426569	2.14e-05	0.00037153
SMOC1	64093	2.658322777	0.000921659	0.007322487
DRP2	1821	2.668342082	8.93e-06	0.000185284
CD6	923	2.672773816	6.32e-06	0.000139425
ASF1B	55723	2.673251967	5.96e-08	3e-06
FAM101A	144347	2.676556548	0.000732582	0.006110132
FN1	2335	2.68559445	6.1e-08	3.03e-06
GPC2	221914	2.69510731	9.43e-05	0.001212187
MUC5B	727897	2.695835493	2.46e-06	6.5e-05
SLC38A3	10991	2.704073617	0.000222116	0.002408702
DEPDC7	91614	2.70641164	3.23e-05	0.000521652
MDGA2	161357	2.706980171	0.000992663	0.007734657
MAD2L1	4085	2.719918929	4.1e-08	2.2e-06
RTKN2	219790	2.729574724	1.86e-08	1.16e-06
ART3	419	2.730585284	1.97e-05	0.000346282
IDO1	3620	2.733755208	0.000573688	0.005041923
C1orf187	374946	2.739632494	0.000199584	0.002209143
SIT1	27240	2.740694266	4.21e-05	0.000640808
VGLL1	51442	2.742258807	0.000268774	0.002790569
WISP1	8840	2.744255251	4.19e-06	9.99e-05
LRP8	7804	2.747336391	9.94e-09	7.34e-07
SPAG5	10615	2.752844446	7.73e-10	8.72e-08
GSDMC	56169	2.754943918	0.000277604	0.002855431
HLA-DOB	3112	2.759469343	3.79e-09	3.24e-07
MFAP2	4237	2.76069184	2.06e-08	1.25e-06
PCSK1	5122	2.76327579	0.000338765	0.003313906
TIFAB	497189	2.770862349	0.000658189	0.005602382
S100A8	6279	2.774108954	0.001049435	0.008078311
ESPL1	9700	2.787394731	2.61e-09	2.36e-07
SHCBP1	79801	2.79033215	2.44e-07	9.65e-06
P2RY10	27334	2.793230064	0.000256461	0.002709605
KIAA1524	57650	2.794713893	3.58e-08	2e-06
ERMN	57471	2.798865357	3.5e-05	0.000549831
GINS4	84296	2.801028593	6.89e-07	2.32e-05
TNR	7143	2.806952725	0.000335724	0.003292055
PDCD1	5133	2.808045713	8.4e-05	0.00110217
PACSIN1	29993	2.816012505	1.89e-05	0.000335553
GPR19	2842	2.81762922	1.26e-06	3.76e-05
NEIL3	55247	2.818677213	3e-06	7.63e-05
ZWINT	11130	2.821586179	4.09e-10	5.14e-08
PRR11	55771	2.822376075	6.7e-08	3.25e-06
KIF11	3832	2.823185748	4.69e-12	1.25e-09
C16orf75	116028	2.830014075	9.7e-08	4.43e-06
TREML2	79865	2.830830138	5.83e-05	0.000817653
SIRPG	55423	2.834460036	5.44e-05	0.000779366
EZH2	2146	2.834844621	5.81e-11	9.72e-09
SLC9A2	6549	2.835649099	0.000899331	0.007193348
SLC2A1	6513	2.835749044	1.74e-08	1.1e-06
CCR4	1233	2.838017017	0.000639344	0.005495574
CDC6	990	2.838321084	2.96e-10	3.93e-08
C15orf42	90381	2.846358774	4.15e-07	1.49e-05
CD5	921	2.851311576	1.59e-05	0.000293573
CCNE2	9134	2.86244774	8.98e-08	4.16e-06
HIST1H2BK	85236	2.863896901	3.45e-06	8.46e-05
SLC26A9	115019	2.868883889	5.56e-05	0.000792265
SH2D1A	4068	2.874363137	0.000123277	0.001509643
CHST4	10164	2.874438801	0.000651797	0.005562249
CAPS	828	2.887336	3.78e-05	0.000586297
TUBB4	10382	2.887386088	0.000153876	0.001803364
HIST1H4H	8365	2.893260037	5.94e-06	0.000132587
GZMB	3002	2.894064808	0.000257976	0.00271845
KIAA0101	9768	2.898446979	5.41e-08	2.75e-06
CBS	875	2.898586916	3.77e-11	6.87e-09
HIST1H2BE	8344	2.899031528	0.000249857	0.002649321
CXCR3	2833	2.900563264	1.5e-05	0.000279882
FAM83D	81610	2.907829103	4.94e-09	4.01e-07
COL9A2	1298	2.911084453	0.000236032	0.00253475
CCNB1	891	2.912589457	2.67e-10	3.63e-08
PNCK	139728	2.916017604	9.08e-06	0.000187341
TYMS	7298	2.916733465	2.31e-08	1.37e-06
CLLU1	574028	2.919080235	0.00055701	0.004929146
CKS2	1164	2.921969283	3.26e-09	2.84e-07
KIF15	56992	2.936850784	3.41e-09	2.96e-07
GRAMD1B	57476	2.940505976	0.000191436	0.002135595
STK33	65975	2.941648323	4.28e-05	0.000648261
TNFRSF13C	115650	2.950330804	0.000945794	0.007480642
NCAPH	23397	2.95205226	3.24e-07	1.22e-05
RAMP1	10267	2.956198738	5.7e-05	0.000804014
TRIP13	9319	2.95733791	1.23e-09	1.32e-07
RRM2	6241	2.962010182	5.84e-10	7.06e-08
TRPM8	79054	2.966084819	0.000451239	0.004183824
EOMES	8320	2.966750464	0.00018316	0.002068022
CD80	941	2.972473316	1.02e-07	4.58e-06
ACAN	176	2.976161433	5.65e-06	0.000127585
FUT7	2529	2.976519966	5.21e-05	0.00075745
OSM	5008	2.979860518	5.58e-06	0.000126554
SBK1	388228	2.983357724	1.54e-09	1.57e-07
LOC284749	284749	2.984249909	7.76e-05	0.001036867
TDO2	6999	2.990089865	0.000463648	0.004282871
KIF18B	146909	2.992020451	2.15e-09	2.02e-07
HLA-DQA2	3118	2.995661497	0.00060818	0.005271425
SGOL1	151648	2.996513648	1.43e-07	6.05e-06
CDC25C	995	2.99921272	2.95e-07	1.13e-05
